districtid,timeid,neighborhoodzscore,statezscore
260,7,0.0,1.0
261,3,-0.53,-0.58
261,4,-0.61,-0.53
261,5,-0.63,-0.68
261,6,-0.76,-0.6
261,7,-0.13,-0.35
262,3,-0.49,-0.17
262,4,-0.93,-0.52
262,5,-0.22,0.14
262,6,-0.84,-1.07
262,7,-0.78,-0.36
263,3,1.5,0.11
263,4,1.13,-0.33
263,5,-0.5,-0.68
263,6,1.26,-0.29
263,7,-1.5,-0.76
264,3,-0.9,-0.58
264,4,-0.59,-0.42
264,5,-0.48,0.13
264,6,-0.1,1.01
264,7,0.14,1.33
266,5,0.23,-0.28
266,6,3.44,1.42
266,7,2.37,-0.09
267,2,1.0,-0.46
267,3,1.41,1.3
267,4,2.69,0.1
267,5,1.52,1.28
267,6,2.0,2.34
267,7,1.95,2.28
268,4,0.0,-0.58
268,5,0.0,-0.1
268,6,0.0,0.09
268,7,0.0,-0.41
269,5,0.18,0.59
269,6,-0.7,0.07
269,7,-0.45,-0.15
270,3,0.0,-0.57
270,4,0.0,-0.58
270,5,0.0,11.71
270,6,0.0,4.03
270,7,50.14,22.74
271,4,0.0,-0.48
271,5,0.0,0.82
271,6,-0.43,-0.1
271,7,0.0,-0.39
273,3,-0.66,-1.3
273,4,1.36,-0.09
273,5,1.0,0.59
273,6,0.12,1.88
273,7,-0.07,-0.05
274,3,-0.45,-0.23
274,4,1.07,-0.24
274,5,-0.54,-0.59
274,6,-0.3,-0.18
274,7,-0.18,-0.16
275,2,-1.0,-0.36
275,3,-0.52,-0.35
275,4,-1.11,-0.41
275,5,-0.66,-0.64
275,6,-1.2,-0.63
275,7,-0.71,-0.5
276,3,-0.73,-0.61
276,4,-0.18,-0.22
276,5,-0.61,-0.54
276,6,0.9,-0.18
276,7,1.57,-0.1
277,2,7.0,0.45
277,3,-0.53,0.95
277,4,1.99,7.28
277,5,2.41,6.57
277,6,0.34,0.95
277,7,1.16,2.57
278,2,3.0,-0.44
278,3,-1.0,-0.9
278,4,-0.6,-0.55
278,5,-4.0,-0.63
278,6,-0.93,-0.63
278,7,-0.27,-0.61
279,3,-1.3,-0.61
279,4,1.86,-0.13
279,5,-0.88,-0.58
279,6,-0.38,-0.51
279,7,-0.64,-0.49
280,3,-0.17,-0.33
280,4,0.74,-0.17
280,5,-0.74,-0.79
280,6,-1.46,-1.27
280,7,0.4,-0.58
281,3,3.2,-0.35
281,4,-0.7,-0.41
281,5,-0.29,-0.35
281,6,-0.31,-0.37
281,7,-0.58,-0.53
282,3,0.0,-0.57
282,4,0.0,-0.74
282,5,0.0,-0.55
282,6,0.0,-1.12
282,7,0.0,-0.86
283,2,-1.0,-0.36
283,3,7.11,1.75
283,4,0.08,-0.27
283,5,0.0,-0.48
283,6,0.99,-0.1
283,7,0.14,-0.25
284,2,0.0,-0.56
284,3,10.66,0.17
284,4,-0.87,-0.35
284,5,0.02,-0.23
284,6,-0.01,-0.11
284,7,-0.14,-0.24
285,3,1.72,-0.33
285,4,-0.13,-0.43
285,5,-0.6,-0.55
285,6,-1.03,-0.83
285,7,-0.86,-0.7
286,3,2.93,2.4
286,4,6.32,0.0
286,5,-0.69,0.47
286,6,-0.77,-0.77
286,7,-0.75,-0.54
287,3,-0.8,-0.9
287,4,-0.86,-0.65
287,5,-0.73,-0.49
287,6,-0.66,-0.33
287,7,-0.0,-0.06
288,2,-0.93,-0.24
288,3,-0.63,-0.06
288,4,-0.59,-0.13
