districtid,timeid,statemean,statestdev
136,16,24.25,30.23
136,17,26.92,35.16
136,18,77.91,96.59
136,19,140.17,182.91
136,20,120.92,133.75
136,21,160.25,172.6
136,22,210.33,270.97
136,23,217.42,216.64
136,24,328.08,329.58
136,25,445.83,397.29
137,7,15.03,27.48
137,8,14.76,32.72
137,9,12.57,16.01
137,10,24.24,22.45
137,11,23.55,19.7
137,12,33.16,34.94
137,13,41.76,50.96
137,14,56.72,72.61
137,15,61.97,105.9
137,16,70.41,111.36
137,17,119.84,178.98
137,18,168.62,222.03
137,19,233.28,327.69
137,20,352.57,401.9
137,21,402.87,559.67
137,22,442.75,631.89
137,23,450.09,629.58
137,24,510.79,656.03
137,25,566.79,772.26
138,7,14.95,27.51
138,8,14.69,32.74
138,9,12.4,16.04
138,10,23.81,22.59
138,11,23.49,19.72
138,12,33.48,34.87
138,13,42.56,50.89
138,14,57.38,72.35
138,15,62.69,105.68
138,16,71.32,111.08
138,17,121.07,178.7
138,18,169.0,221.83
138,19,233.26,327.7
138,20,349.66,403.4
138,21,397.09,561.37
138,22,438.66,633.29
138,23,446.01,631.15
138,24,506.5,657.95
138,25,564.4,773.51
140,10,40.26,99.19
140,11,36.68,86.4
140,13,36.26,79.29
140,14,25.48,60.18
140,15,30.07,58.27
140,16,35.98,71.21
140,17,53.46,103.08
140,18,93.6,164.63
140,19,103.43,181.92
140,20,114.55,218.06
140,21,110.65,202.68
140,22,126.43,206.07
140,23,149.39,244.01
140,24,180.51,277.85
140,25,218.88,357.08
141,7,2.0,1.07
141,10,17.94,19.7
141,11,18.05,17.01
141,12,36.38,44.85
141,13,31.95,36.35
141,14,39.77,42.97
141,15,68.41,99.79
141,16,86.18,177.28
141,17,153.41,325.41
141,18,167.68,346.39
141,19,304.82,604.19
141,20,393.09,560.74
141,21,437.45,473.47
141,22,514.77,492.52
141,23,709.36,647.75
